Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2013,10,Greece,GRC,,,27.5,,,54.5,,,25.6,,,,,,,
2014,12,Serbia,SRB,,,,,,,,,,,,,,49.8,53.9,46.0
2013,3,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2012,2,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2014,11,Serbia,SRB,,,,,,,,,,,,,,49.8,53.9,46.0
2013,4,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2012,3,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2014,10,Serbia,SRB,,,,,,,,,,,,,,49.8,53.9,46.0
2013,1,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2012,4,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2013,2,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2012,5,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2012,1,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2020,12,Honduras,HND,America,9904608.0,,,,,,,,,,234,9676,,,
2020,11,Honduras,HND,America,9904608.0,,,,,,,,,,253,18583,,,
2018,2,Slovakia,SVK,,,7.1,,,17.2,,,6.3,,,,,83.4,91.4,75.6
2020,10,Honduras,HND,America,9904608.0,,,,,,,,,,415,14865,,,
2018,1,Slovakia,SVK,,,7.3,,,18.1,,,6.5,,,,,83.4,91.4,75.6
2018,8,Slovakia,SVK,,,6.3,,,14.4,,,5.7,,,,,83.4,91.4,75.6
2021,4,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,2,82,,,
2018,7,Slovakia,SVK,,,6.4,,,14.6,,,5.8,,,,,83.4,91.4,75.6
2021,5,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,11,3218,,,
2020,12,Albania,ALB,Europe,2845955.0,,,,,,,,,,280,16423,,,
2021,2,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,1,43,,,
2018,9,Slovakia,SVK,,,6.2,,,14.4,,,5.6,,,,,83.4,91.4,75.6
2021,3,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,1,67,,,
2018,4,Slovakia,SVK,,,6.8,,,14.8,,,6.2,,,,,83.4,91.4,75.6
2020,10,Albania,ALB,Europe,2845955.0,,,,,,,,,,80,4011,,,
2018,3,Slovakia,SVK,,,6.9,,,16.2,,,6.2,,,,,83.4,91.4,75.6
2020,11,Albania,ALB,Europe,2845955.0,,,,,,,,,,122,6936,,,
2021,1,Taiwan -  Province of China,TWN,Asia,2.3816775E7,,,,,,,,,,1,97,,,
2018,6,Slovakia,SVK,,,6.6,,,14.7,,,6.0,,,,,83.4,91.4,75.6
