Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2021,2,Suriname,SUR,America,586634.0,,,,,,,,,,17,484,,,
2012,2,Malta,MLT,,,,,,,,,,,,,,92.5,93.5,91.4
2022,1,Andorra,AND,Europe,76177.0,,,,,,,,,,2,5386,,,
2021,5,Gambia,GMB,Africa,2416664.0,,,,,,,,,,5,121,,,
2021,1,Suriname,SUR,America,586634.0,,,,,,,,,,33,2056,,,
2012,3,Malta,MLT,,,,,,,,,,,,,,92.5,93.5,91.4
2021,8,Gambia,GMB,Africa,2416664.0,,,,,,,,,,81,2275,,,
2021,7,Gambia,GMB,Africa,2416664.0,,,,,,,,,,9,881,,,
2021,9,Gambia,GMB,Africa,2416664.0,,,,,,,,,,57,653,,,
2022,1,Albania,ALB,Europe,2845955.0,,,,,,,,,,49,21752,,,
2021,11,Slovakia,SVK,Europe,5457873.0,,,,,,,,,,562,135396,,,
2021,10,Slovakia,SVK,Europe,5457873.0,6.3,6.2,6.4,17.5,17.1,18.3,5.7,5.6,5.9,190,38601,,,
2021,12,Slovakia,SVK,Europe,5457873.0,,,,,,,,,,1690,285558,,,
2020,10,Qatar,QAT,Asia,2881060.0,,,,,,,,,,13,6403,,,
2020,12,Qatar,QAT,Asia,2881060.0,,,,,,,,,,5,5928,,,
2020,11,Qatar,QAT,Asia,2881060.0,,,,,,,,,,16,6222,,,
2012,4,Belgium,BEL,,,7.3,,,17.6,,,6.3,,,,,80.9,82.1,79.7
2012,5,Belgium,BEL,,,7.4,,,17.6,,,6.4,,,,,80.9,82.1,79.7
2012,2,Belgium,BEL,,,7.2,,,18.6,,,6.0,,,,,80.9,82.1,79.7
2012,3,Belgium,BEL,,,7.2,,,18.6,,,6.1,,,,,80.9,82.1,79.7
2012,8,Belgium,BEL,,,7.4,,,20.6,,,6.2,,,,,80.9,82.1,79.7
2012,9,Belgium,BEL,,,7.7,,,20.6,,,6.4,,,,,80.9,82.1,79.7
2012,6,Belgium,BEL,,,7.4,,,17.6,,,6.4,,,,,80.9,82.1,79.7
2012,7,Belgium,BEL,,,7.3,,,20.6,,,6.2,,,,,80.9,82.1,79.7
2012,1,Belgium,BEL,,,7.1,,,18.6,,,6.0,,,,,80.9,82.1,79.7
2010,2,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2010,3,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2010,1,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2020,12,Faroe Islands,FRO,Europe,48865.0,,,,,,,,,,0,7,,,
2021,7,Singapore,SGP,Asia,5850343.0,,,,,,,,,,2,659,,,
2017,12,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2010,6,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2021,8,Singapore,SGP,Asia,5850343.0,,,,,,,,,,8,3099,,,
2010,7,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2021,9,Singapore,SGP,Asia,5850343.0,,,,,,,,,,14,5515,,,
2010,4,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2010,5,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2020,4,China,CHN,Asia,1.439323774E9,,,,,,,,,,1362,2333,,,
2020,3,Nicaragua,NIC,America,6624554.0,,,,,,,,,,0,2,,,
2020,3,China,CHN,Asia,1.439323774E9,,,,,,,,,,679,4250,,,
2020,2,Nicaragua,NIC,America,6624554.0,,,,,,,,,,0,0,,,
2020,2,China,CHN,Asia,1.439323774E9,,,,,,,,,,2514,74459,,,
2020,1,Nicaragua,NIC,America,6624554.0,,,,,,,,,,0,0,,,
2010,8,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2020,1,China,CHN,Asia,1.439323774E9,,,,,,,,,,81,2716,,,
2010,9,Sweden,SWE,,,,,,,,,,,,,,83,84.3,81.5
2020,8,China,CHN,Asia,1.439323774E9,,,,,,,,,,45,3676,,,
2020,7,Nicaragua,NIC,America,6624554.0,,,,,,,,,,36,1191,,,
2020,7,China,CHN,Asia,1.439323774E9,,,,,,,,,,3,782,,,
2020,6,Nicaragua,NIC,America,6624554.0,,,,,,,,,,47,1630,,,
2020,6,China,CHN,Asia,1.439323774E9,,,,,,,,,,0,281,,,
2020,5,Nicaragua,NIC,America,6624554.0,,,,,,,,,,7,16,,,
2021,1,Singapore,SGP,Asia,5850343.0,,,,,,,,,,0,839,,,
2020,5,China,CHN,Asia,1.439323774E9,,,,,,,,,,2,237,,,
2020,4,Nicaragua,NIC,America,6624554.0,,,,,,,,,,1,7,,,
2021,2,Singapore,SGP,Asia,5850343.0,,,,,,,,,,0,400,,,
2021,3,Singapore,SGP,Asia,5850343.0,,,,,,,,,,1,364,,,
2021,4,Singapore,SGP,Asia,5850343.0,,,,,,,,,,0,706,,,
2020,10,Faroe Islands,FRO,Europe,48865.0,,,,,,,,,,0,61,,,
2020,9,Nicaragua,NIC,America,6624554.0,,,,,,,,,,18,766,,,
2021,5,Singapore,SGP,Asia,5850343.0,,,,,,,,,,2,818,,,
2020,9,China,CHN,Asia,1.439323774E9,,,,,,,,,,44,1265,,,
2020,11,Faroe Islands,FRO,Europe,48865.0,,,,,,,,,,0,21,,,
2020,8,Nicaragua,NIC,America,6624554.0,,,,,,,,,,32,1056,,,
2021,6,Singapore,SGP,Asia,5850343.0,,,,,,,,,,2,590,,,
2020,9,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,226,3707,78.7,80.9,76.4
2021,8,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,394,18758,,,
2011,9,Luxembourg,LUX,,,5.0,,,18.0,,,4.1,,,,,86.1,89.7,83.2
2021,7,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,62,9692,,,
2021,9,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,219,2646,,,
2011,6,Luxembourg,LUX,,,4.8,,,15.8,,,4.1,,,,,86.1,89.7,83.2
2020,3,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,3,185,78.7,80.9,76.4
2021,4,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,67,1646,,,
2011,5,Luxembourg,LUX,,,4.8,,,15.3,,,4.1,,,,,86.1,89.7,83.2
2020,4,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,39,709,78.7,80.9,76.4
2021,3,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,165,4000,,,
2011,8,Luxembourg,LUX,,,5.1,,,18.2,,,4.2,,,,,86.1,89.7,83.2
2020,1,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,0,0,78.7,80.9,76.4
2021,6,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,26,1262,,,
2011,7,Luxembourg,LUX,,,4.9,,,17.6,,,4.1,,,,,86.1,89.7,83.2
2020,2,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,0,0,78.7,80.9,76.4
2021,5,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,28,976,,,
2011,2,Luxembourg,LUX,,,4.7,,,14.4,,,4.1,,,,,86.1,89.7,83.2
2020,7,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,95,3909,78.7,80.9,76.4
2011,1,Luxembourg,LUX,,,4.7,,,14.7,,,4.1,,,,,86.1,89.7,83.2
2020,8,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,178,6168,78.7,80.9,76.4
2011,4,Luxembourg,LUX,,,4.7,,,14.9,,,4.0,,,,,86.1,89.7,83.2
2020,5,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,66,1317,78.7,80.9,76.4
2021,2,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,234,7593,,,
2011,3,Luxembourg,LUX,,,4.7,,,14.6,,,4.1,,,,,86.1,89.7,83.2
2020,6,Bulgaria,BGR,Europe,6951482.0,,,,,,,,,,64,1055,78.7,80.9,76.4
2021,1,Senegal,SEN,Africa,1.674393E7,,,,,,,,,,214,7124,,,
2008,12,Lithuania,LTU,,,9.0,,,20.3,,,7.8,,,,,,,
2010,10,Slovenia,SVN,,,7.6,,,14.6,,,7.0,,,,,80.7,84,77.2
2010,11,Slovenia,SVN,,,7.7,,,14.6,,,7.1,,,,,80.7,84,77.2
2010,12,Slovenia,SVN,,,7.9,,,14.6,,,7.2,,,,,80.7,84,77.2
2009,3,Lithuania,LTU,,,11.6,,,25.6,,,10.2,,,,,73,71.4,74.5
2009,2,Lithuania,LTU,,,10.7,,,23.6,,,9.4,,,,,73,71.4,74.5
2009,5,Lithuania,LTU,,,13.4,,,29.5,,,11.7,,,,,73,71.4,74.5
2009,4,Lithuania,LTU,,,12.6,,,27.9,,,11.0,,,,,73,71.4,74.5
2008,11,Lithuania,LTU,,,8.3,,,18.8,,,7.2,,,,,,,
2009,1,Lithuania,LTU,,,9.8,,,21.8,,,8.6,,,,,73,71.4,74.5
2008,10,Lithuania,LTU,,,7.7,,,17.3,,,6.6,,,,,,,
2019,5,Germany,DEU,,,3.1,,,5.7,,,2.8,,,,,92.7,94.4,90.9
2019,4,Germany,DEU,,,3.2,,,5.7,,,2.9,,,,,92.7,94.4,90.9
2019,3,Germany,DEU,,,3.2,,,5.8,,,2.9,,,,,92.7,94.4,90.9
2019,2,Germany,DEU,,,3.2,,,5.8,,,2.9,,,,,92.7,94.4,90.9
2009,7,Lithuania,LTU,,,14.4,,,31.4,,,12.8,,,,,73,71.4,74.5
2019,1,Germany,DEU,,,3.3,,,5.8,,,3.0,,,,,92.7,94.4,90.9
2009,6,Lithuania,LTU,,,14.0,,,30.7,,,12.3,,,,,73,71.4,74.5
2009,9,Lithuania,LTU,,,15.4,,,32.6,,,13.7,,,,,73,71.4,74.5
2009,8,Lithuania,LTU,,,14.9,,,32.1,,,13.2,,,,,73,71.4,74.5
2019,9,Germany,DEU,,,3.1,,,5.8,,,2.8,,,,,92.7,94.4,90.9
2019,8,Germany,DEU,,,3.1,,,5.8,,,2.8,,,,,92.7,94.4,90.9
2019,7,Germany,DEU,,,3.1,,,5.7,,,2.8,,,,,92.7,94.4,90.9
2019,6,Germany,DEU,,,3.1,,,5.7,,,2.8,,,,,92.7,94.4,90.9
2014,10,Ireland,IRL,,,11.0,,,20.8,,,9.7,,,,,76.0,75.9,76.0
2014,11,Ireland,IRL,,,10.8,,,20.9,,,9.4,,,,,76.0,75.9,76.0
2014,12,Ireland,IRL,,,10.8,,,21.4,,,9.3,,,,,76.0,75.9,76.0
2021,12,Uzbekistan,UZB,Asia,3.3469199E7,,,,,,,,,,81,6387,,,
2021,11,Uzbekistan,UZB,Asia,3.3469199E7,,,,,,,,,,67,9183,,,
2013,10,Spain,ESP,,,26.0,,,55.3,,,23.7,,,,,59.9,60.4,59.4
2012,12,Latvia,LVA,,,13.8,,,21.5,,,13.0,,,,,74.3,74.7,73.9
2013,11,Spain,ESP,,,25.9,,,55.3,,,23.6,,,,,59.9,60.4,59.4
2012,11,Latvia,LVA,,,14.4,,,22.1,,,13.6,,,,,74.3,74.7,73.9
2013,12,Spain,ESP,,,25.6,,,54.8,,,23.3,,,,,59.9,60.4,59.4
2012,10,Latvia,LVA,,,14.4,,,24.7,,,13.3,,,,,74.3,74.7,73.9
2020,11,New Zealand,NZL,Oceania,4822233.0,,,,,,,,,,0,108,,,
2020,12,New Zealand,NZL,Oceania,4822233.0,,,,,,,,,,0,93,,,
2022,1,Comoros,COM,Africa,869595.0,,,,,,,,,,1,826,,,
2020,10,New Zealand,NZL,Oceania,4822233.0,,,,,,,,,,1,74,,,
2012,9,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,8,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,7,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,6,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,5,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,4,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,3,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2012,2,Norway,NOR,,,,,,,,,,,,,,88.8,89.6,88.1
2022,1,Qatar,QAT,Asia,2881060.0,,,,,,,,,,8,46883,,,
2021,12,Uruguay,URY,America,3473727.0,,,,,,,,,,48,5657,,,
2017,10,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,11,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2022,1,Myanmar,MMR,Asia,5.4409794E7,,,,,,,,,,28,2119,,,
2011,2,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2011,3,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2021,11,Anguilla,AIA,America,15002.0,,,,,,,,,,0,495,,,
2022,1,Iran -  Islamic Republic of,IRN,Asia,8.3992953E7,,,,,,,,,,395,24120,,,
2011,4,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,2,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2021,12,Anguilla,AIA,America,15002.0,,,,,,,,,,2,375,,,
2011,5,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,1,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2011,6,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,4,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2021,10,Anguilla,AIA,America,15002.0,,,,,,,,,,1,248,,,
2011,7,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,3,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2011,8,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,6,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2011,9,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2018,5,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2018,8,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2018,7,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2016,12,Italy,ITA,,,11.8,,,38.0,,,10.1,,,,,52.9,56,50
2018,9,Montenegro,MNE,,,,,,,,,,,,,,61.2,58,64.1
2016,11,Italy,ITA,,,12.0,,,39.5,,,10.1,,,,,52.9,56,50
2016,10,Italy,ITA,,,11.7,,,36.9,,,10.1,,,,,52.9,56,50
2011,1,Romania,ROU,,,,,,,,,,,,,,70.8,73,68.5
2021,10,Uzbekistan,UZB,Asia,3.3469199E7,,,,,,,,,,114,14096,,,
2021,11,Uruguay,URY,America,3473727.0,,,,,,,,,,22,5153,,,
2021,10,Uruguay,URY,America,3473727.0,,,,,,,,,,24,3414,,,
2022,1,Libya,LBY,Africa,6871287.0,,,,,,,,,,126,7761,,,
2020,11,Cuba,CUB,America,1.1326616E7,,,,,,,,,,6,1126,,,
2020,12,Cuba,CUB,America,1.1326616E7,,,,,,,,,,6,1298,,,
2020,10,Cuba,CUB,America,1.1326616E7,,,,,,,,,,21,1500,,,
2021,9,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,8,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2022,1,Turkey,TUR,Europe,8.3154997E7,,,,,,,,,,1987,850263,,,
2020,11,Togo,TGO,Africa,8278737.0,,,,,,,,,,9,503,,,
2020,12,Togo,TGO,Africa,8278737.0,,,,,,,,,,7,605,,,
2020,11,Bolivia -  Plurinational State of,BOL,America,1.1673029E7,,,,,,,,,,630,4965,,,
2020,10,Bolivia -  Plurinational State of,BOL,America,1.1673029E7,,,,,,,,,,1093,16099,,,
2020,12,Bolivia -  Plurinational State of,BOL,America,1.1673029E7,,,,,,,,,,221,2789,,,
2021,7,Gabon,GAB,Africa,2225728.0,,,,,,,,,,5,419,,,
2021,8,Gabon,GAB,Africa,2225728.0,,,,,,,,,,2,281,,,
2021,9,Gabon,GAB,Africa,2225728.0,,,,,,,,,,5,1074,,,
2021,3,Gabon,GAB,Africa,2225728.0,,,,,,,,,,28,4213,,,
2021,12,Tajikistan,TJK,Asia,9537642.0,,,,,,,,,,0,7,,,
2021,4,Gabon,GAB,Africa,2225728.0,,,,,,,,,,27,3656,,,
2021,11,Tajikistan,TJK,Asia,9537642.0,,,,,,,,,,0,2,,,
2021,5,Gabon,GAB,Africa,2225728.0,,,,,,,,,,9,1674,,,
2021,6,Gabon,GAB,Africa,2225728.0,,,,,,,,,,11,757,,,
2021,1,Gabon,GAB,Africa,2225728.0,,,,,,,,,,2,1348,,,
2021,10,Tajikistan,TJK,Asia,9537642.0,,,,,,,,,,0,0,,,
2021,2,Gabon,GAB,Africa,2225728.0,,,,,,,,,,15,3611,,,
2020,10,Togo,TGO,Africa,8278737.0,,,,,,,,,,16,366,,,
2021,7,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,6,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,5,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,4,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,3,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,2,,,
2021,2,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,1,Vanuatu,VUT,Oceania,307150.0,,,,,,,,,,0,0,,,
2021,5,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,458,18642,,,
2021,6,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,102,3039,,,
2021,3,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,290,22668,,,
2021,4,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,889,56482,,,
2021,1,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,399,9954,,,
2021,2,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,91,4443,,,
2020,4,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,47,1154,,,
2020,3,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,1,131,,,
2020,2,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,0,0,,,
2020,1,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,0,0,,,
2021,9,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,950,92090,,,
2021,7,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,32,3093,,,
2021,8,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,159,29416,,,
2011,9,Italy,ITA,,,9.0,,,30.3,,,7.2,,,,,57.7,60.3,55.2
2011,8,Italy,ITA,,,8.6,,,29.0,,,7.2,,,,,57.7,60.3,55.2
2020,9,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,247,7235,,,
2020,8,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,186,7441,,,
2020,7,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,58,3882,,,
2020,6,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,31,712,,,
2020,5,Bosnia and Herzegovina,BIH,Europe,3280815.0,,,,,,,,,,85,1005,,,
2011,12,Poland,POL,,,,,,,,,,,,,,75.3,80.1,70.6
2006,9,Finland,FIN,,,7.6,,,18.3,,,6.1,,,,,,,
2006,8,Finland,FIN,,,7.7,,,19.1,,,6.1,,,,,,,
2006,7,Finland,FIN,,,7.6,,,17.4,,,6.2,,,,,,,
2011,10,Austria,AUT,,,5.2,,,11.5,,,4.2,,,,,90.5,91.1,89.6
2011,12,Austria,AUT,,,5.1,,,10.2,,,4.3,,,,,90.5,91.1,89.6
2011,11,Austria,AUT,,,5.3,,,9.0,,,4.7,,,,,90.5,91.1,89.6
2011,1,Italy,ITA,,,8.2,,,29.1,,,6.7,,,,,57.7,60.3,55.2
2011,3,Italy,ITA,,,8.1,,,27.7,,,6.7,,,,,57.7,60.3,55.2
2011,2,Italy,ITA,,,8.1,,,27.7,,,6.7,,,,,57.7,60.3,55.2
2011,5,Italy,ITA,,,8.3,,,28.3,,,6.8,,,,,57.7,60.3,55.2
2011,4,Italy,ITA,,,8.0,,,27.9,,,6.8,,,,,57.7,60.3,55.2
2011,7,Italy,ITA,,,8.4,,,28.8,,,7.2,,,,,57.7,60.3,55.2
2011,6,Italy,ITA,,,8.3,,,29.1,,,6.8,,,,,57.7,60.3,55.2
2006,2,Finland,FIN,,,8.0,,,20.0,,,6.3,,,,,,,
2006,1,Finland,FIN,,,8.3,,,19.5,,,6.6,,,,,,,
2006,6,Finland,FIN,,,7.7,,,19.4,,,6.1,,,,,,,
2020,1,Côte d'Ivoire,CIV,Africa,2.6378275E7,,,,,,,,,,0,0,,,
2006,5,Finland,FIN,,,7.9,,,19.4,,,6.3,,,,,,,
2006,4,Finland,FIN,,,7.7,,,19.9,,,6.0,,,,,,,
2020,3,Côte d'Ivoire,CIV,Africa,2.6378275E7,,,,,,,,,,0,25,,,
2011,10,Poland,POL,,,,,,,,,,,,,,75.3,80.1,70.6
2006,3,Finland,FIN,,,7.7,,,17.6,,,6.3,,,,,,,
2020,2,Côte d'Ivoire,CIV,Africa,2.6378275E7,,,,,,,,,,0,0,,,
2011,11,Poland,POL,,,,,,,,,,,,,,75.3,80.1,70.6
2020,6,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,80,6683,,,
2020,7,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,187,14084,,,
2020,4,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,18,1333,,,
2020,5,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,20,1876,,,
2020,2,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,0,0,,,
2020,3,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,1,65,,,
2020,1,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,0,0,,,
2021,10,Gambia,GMB,Africa,2416664.0,,,,,,,,,,11,93,,,
2021,11,Gambia,GMB,Africa,2416664.0,,,,,,,,,,2,32,,,
2020,8,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,184,9527,,,
2020,9,Azerbaijan,AZE,Europe,1.0139175E7,,,,,,,,,,58,3761,,,
2017,7,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,8,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,9,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,1,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,2,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,3,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,4,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,5,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2017,6,Serbia,SRB,,,,,,,,,,,,,,61.4,66,57
2007,9,Finland,FIN,,,7.1,,,16.5,,,5.7,,,,,,,
2007,8,Finland,FIN,,,6.8,,,14.6,,,5.7,,,,,,,
2007,7,Finland,FIN,,,6.8,,,16.4,,,5.4,,,,,,,
2007,6,Finland,FIN,,,6.9,,,16.4,,,5.5,,,,,,,
2020,1,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,0,4,,,
2020,2,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,0,18,,,
2020,3,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,7,1687,,,
2020,4,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,63,4903,,,
2020,5,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,28,433,,,
2020,6,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,4,275,,,
2020,7,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,6,2477,,,
2021,12,Gambia,GMB,Africa,2416664.0,,,,,,,,,,1,25,,,
2020,8,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,187,11287,,,
2020,9,Australia,AUS,Oceania,2.5499881E7,,,,,,,,,,458,5195,,,
2007,1,Finland,FIN,,,7.2,,,18.0,,,5.6,,,,,,,
2007,5,Finland,FIN,,,6.6,,,14.8,,,5.4,,,,,,,
2007,4,Finland,FIN,,,6.5,,,15.9,,,5.2,,,,,,,
2007,3,Finland,FIN,,,7.1,,,18.8,,,5.4,,,,,,,
2007,2,Finland,FIN,,,7.2,,,17.7,,,5.7,,,,,,,
2021,11,Montenegro,MNE,Europe,621873.0,,,,,,,,,,162,13281,,,
2021,10,Montenegro,MNE,Europe,621873.0,,,,,,,,,,186,13390,,,
2020,11,Iceland,ISL,Europe,364134.0,,,,,,,,,,7,1940,88.0,88.9,87.3
2020,12,Iceland,ISL,Europe,364134.0,,,,,,,,,,9,469,88.0,88.9,87.3
2020,10,Iceland,ISL,Europe,364134.0,,,,,,,,,,0,838,88.0,88.9,87.3
2021,12,Montenegro,MNE,Europe,621873.0,,,,,,,,,,183,10044,,,
2013,4,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,5,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,6,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,7,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,8,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2014,12,Slovakia,SVK,,,12.4,,,26.8,,,11.2,,,,,72.7,78.0,68.3
2013,9,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2014,11,Slovakia,SVK,,,12.5,,,26.9,,,11.3,,,,,72.7,78.0,68.3
2014,10,Slovakia,SVK,,,12.6,,,27.2,,,11.4,,,,,72.7,78.0,68.3
2013,1,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,2,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2013,3,Croatia,HRV,,,,,,,,,,,,,,53.8,53.9,53.7
2016,3,Latvia,LVA,,,9.7,,,14.9,,,9.2,,,,,81.4,77.5,84.9
2020,12,Iran -  Islamic Republic of,IRN,Asia,8.3992953E7,,,,,,,,,,12577,328258,,,
2016,2,Latvia,LVA,,,9.9,,,14.8,,,9.4,,,,,81.4,77.5,84.9
2016,1,Latvia,LVA,,,10.0,,,16.2,,,9.5,,,,,81.4,77.5,84.9
2020,10,Iran -  Islamic Republic of,IRN,Asia,8.3992953E7,,,,,,,,,,4664,85114,,,
2020,11,Iran -  Islamic Republic of,IRN,Asia,8.3992953E7,,,,,,,,,,8341,148719,,,
2009,5,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,6,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,3,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,4,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,9,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,7,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2022,1,Isle of Man,IMN,Europe,85032.0,,,,,,,,,,3,3284,,,
2009,8,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2022,1,Venezuela -  Bolivarian Republic of,VEN,America,2.8435943E7,,,,,,,,,,62,10362,,,
2009,1,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
2009,2,Iceland,ISL,,,,,,,,,,,,,,84.4,83.0,85.9
