Year,Month,Country,Recent_graduates_20-34_employment_rate_t,Recent_graduates_20-34_employment_rate_m,Recent_graduates_20-34_employment_rate_f
2012,10,GBR,81.5,83.9,79.4
2012,11,GBR,81.5,83.9,79.4
2012,12,GBR,81.5,83.9,79.4
2013,1,GBR,83.8,84.5,83.1
2013,2,GBR,83.8,84.5,83.1
2013,3,GBR,83.8,84.5,83.1
2013,4,GBR,83.8,84.5,83.1
2013,5,GBR,83.8,84.5,83.1
2013,6,GBR,83.8,84.5,83.1
2013,7,GBR,83.8,84.5,83.1
2013,8,GBR,83.8,84.5,83.1
2013,9,GBR,83.8,84.5,83.1
2013,10,GBR,83.8,84.5,83.1
2013,11,GBR,83.8,84.5,83.1
2013,12,GBR,83.8,84.5,83.1
2014,1,GBR,83.2,85.3,81.5
2014,2,GBR,83.2,85.3,81.5
2014,3,GBR,83.2,85.3,81.5
2014,4,GBR,83.2,85.3,81.5
2014,5,GBR,83.2,85.3,81.5
2014,6,GBR,83.2,85.3,81.5
2014,7,GBR,83.2,85.3,81.5
2014,8,GBR,83.2,85.3,81.5
2014,9,GBR,83.2,85.3,81.5
2014,10,GBR,83.2,85.3,81.5
2014,11,GBR,83.2,85.3,81.5
2014,12,GBR,83.2,85.3,81.5
2015,1,GBR,85.8,86.8,84.9
2015,2,GBR,85.8,86.8,84.9
2015,3,GBR,85.8,86.8,84.9
2015,4,GBR,85.8,86.8,84.9
2015,5,GBR,85.8,86.8,84.9
2015,6,GBR,85.8,86.8,84.9
2015,7,GBR,85.8,86.8,84.9
2015,8,GBR,85.8,86.8,84.9
2015,9,GBR,85.8,86.8,84.9
2015,10,GBR,85.8,86.8,84.9
2015,11,GBR,85.8,86.8,84.9
2015,12,GBR,85.8,86.8,84.9
2016,1,GBR,84.4,87.5,81.6
2016,2,GBR,84.4,87.5,81.6
2016,3,GBR,84.4,87.5,81.6
2016,4,GBR,84.4,87.5,81.6
2016,5,GBR,84.4,87.5,81.6
2016,6,GBR,84.4,87.5,81.6
2016,7,GBR,84.4,87.5,81.6
2016,8,GBR,84.4,87.5,81.6
2016,9,GBR,84.4,87.5,81.6
2016,10,GBR,84.4,87.5,81.6
2016,11,GBR,84.4,87.5,81.6
2016,12,GBR,84.4,87.5,81.6
2017,1,GBR,86.6,88.2,85.2
2017,2,GBR,86.6,88.2,85.2
2017,3,GBR,86.6,88.2,85.2
2017,4,GBR,86.6,88.2,85.2
2017,5,GBR,86.6,88.2,85.2
2017,6,GBR,86.6,88.2,85.2
2017,7,GBR,86.6,88.2,85.2
2017,8,GBR,86.6,88.2,85.2
2017,9,GBR,86.6,88.2,85.2
2017,10,GBR,86.6,88.2,85.2
2017,11,GBR,86.6,88.2,85.2
2017,12,GBR,86.6,88.2,85.2
2018,1,GBR,86.7,86.2,87
2018,2,GBR,86.7,86.2,87
2018,3,GBR,86.7,86.2,87
2018,4,GBR,86.7,86.2,87
2018,5,GBR,86.7,86.2,87
2018,6,GBR,86.7,86.2,87
2018,7,GBR,86.7,86.2,87
2018,8,GBR,86.7,86.2,87
2018,9,GBR,86.7,86.2,87
2018,10,GBR,86.7,86.2,87
2018,11,GBR,86.7,86.2,87
2018,12,GBR,86.7,86.2,87
2019,1,GBR,85.4,85.3,85.5
2019,2,GBR,85.4,85.3,85.5
2019,3,GBR,85.4,85.3,85.5
2019,4,GBR,85.4,85.3,85.5
2019,5,GBR,85.4,85.3,85.5
2019,6,GBR,85.4,85.3,85.5
2019,7,GBR,85.4,85.3,85.5
2019,8,GBR,85.4,85.3,85.5
2019,9,GBR,85.4,85.3,85.5
