Year,Mounth,Country,Unemp_total,Unemp_25_74,Unemp_15_24,Unemp_men,Unemp_women,Unemp_15_24_men,Unemp_15_24_women,Unemp_25_74_men,Unemp_25_74_women
2005,11,LUX,4.6,3.8,15.1,,,,,,
2005,11,NLD,5.7,4.7,11.5,,,,,,
2005,11,PRT,9.5,8.1,20.5,,,,,,
2005,11,SVK,15.7,13.8,30.0,,,,,,
2005,11,ESP,8.7,7.4,18.6,,,,,,
2005,11,GBR,5.14647,3.539201,13.93515,,,,,,
2005,11,USA,5.0,3.968839,11.1,,,,,,
2005,11,EST,7.2,6.3,14.1,,,,,,
2005,11,LVA,8.8,8.2,13.8,,,,,,
2005,11,LTU,7.0,6.5,13.4,,,,,,
2005,11,SVN,7.2,6.1,16.7,,,,,,
2005,12,AUT,6.1,5.1,11.7,,,,,,
2005,12,BEL,8.5,7.0,22.0,,,,,,
2005,12,FIN,8.4,6.5,21.1,,,,,,
2005,12,FRA,9.1,7.4,23.3,,,,,,
2005,12,DEU,10.7,10.2,14.4,,,,,,
2005,12,GRC,9.6,8.1,25.3,,,,,,
2005,12,IRL,4.6,3.6,8.6,,,,,,
2005,12,ITA,7.6,6.2,23.5,,,,,,
2005,12,LUX,4.7,3.8,15.5,,,,,,
2005,12,NLD,5.7,4.7,11.3,,,,,,
2005,12,PRT,9.3,8.0,19.8,,,,,,
2005,12,SVK,15.4,13.5,29.9,,,,,,
2005,12,ESP,8.8,7.5,18.6,,,,,,
2005,12,GBR,5.086849,3.526072,13.63099,,,,,,
2005,12,USA,4.9,3.87333,10.5,,,,,,
2005,12,EST,6.8,5.9,14.0,,,,,,
2005,12,LVA,8.5,7.8,13.8,,,,,,
2005,12,LTU,6.9,6.3,12.8,,,,,,
2005,12,SVN,7.0,5.9,16.7,,,,,,
2006,01,AUT,6.1,5.2,11.8,,,,,,
2006,01,BEL,8.5,7.1,20.5,,,,,,
2006,01,FIN,8.3,6.6,19.5,,,,,,
2006,01,FRA,9.1,7.4,23.7,,,,,,
2006,01,DEU,10.6,10.1,14.2,,,,,,
2006,01,GRC,9.4,7.9,24.6,,,,,,
2006,01,IRL,4.7,3.7,8.9,,,,,,
2006,01,ITA,7.4,5.9,23.2,,,,,,
2006,01,LUX,4.5,3.7,14.2,,,,,,
2006,01,NLD,5.5,4.5,11.1,,,,,,
2006,01,PRT,9.2,7.9,19.7,,,,,,
2006,01,SVK,15.0,13.1,29.9,,,,,,
2006,01,ESP,8.8,7.6,18.4,,,,,,
2006,01,GBR,5.181305,3.617514,13.66197,,,,,,
2006,01,USA,4.7,3.709025,10.4,,,,,,
2006,01,EST,6.6,5.5,14.8,,,,,,
2006,01,LVA,8.4,7.7,13.3,,,,,,
2006,01,LTU,6.7,6.2,11.7,,,,,,
2006,01,SVN,6.7,5.6,16.1,,,,,,
2006,02,AUT,6.0,5.2,10.5,,,,,,
2006,02,BEL,8.6,7.2,20.5,,,,,,
2006,02,FIN,8.0,6.3,20.0,,,,,,
2006,02,FRA,9.1,7.4,24.0,,,,,,
2006,02,DEU,10.5,10.0,14.0,,,,,,
2006,02,GRC,9.6,8.0,25.0,,,,,,
2006,02,IRL,4.7,3.7,9.0,,,,,,
2006,02,ITA,7.4,5.9,24.2,,,,,,
2006,02,LUX,4.5,3.7,14.7,,,,,,
2006,02,NLD,5.5,4.4,11.2,,,,,,
2006,02,PRT,9.1,7.7,20.2,,,,,,
2006,02,SVK,14.6,12.7,29.6,,,,,,
2006,02,ESP,8.7,7.5,18.1,,,,,,
2006,02,GBR,5.234042,3.683719,13.6449,,,,,,
2006,02,USA,4.8,3.715054,10.8,,,,,,
2006,02,EST,6.2,5.3,13.5,,,,,,
2006,02,LVA,8.2,7.4,13.8,,,,,,
2006,02,LTU,6.4,6.0,11.0,,,,,,
2006,02,SVN,6.5,5.4,16.1,,,,,,
2006,03,AUT,6.1,5.2,11.7,,,,,,
2006,03,BEL,8.6,7.4,20.5,,,,,,
2006,03,FIN,7.7,6.3,17.6,,,,,,
2006,03,FRA,9.1,7.3,24.0,,,,,,
2006,03,DEU,10.4,10.0,13.9,,,,,,
2006,03,GRC,9.0,7.6,24.5,,,,,,
2006,03,IRL,4.7,3.6,9.1,,,,,,
2006,03,ITA,7.2,5.9,22.3,,,,,,
2006,03,LUX,4.7,3.8,15.3,,,,,,
2006,03,NLD,5.3,4.4,10.6,,,,,,
2006,03,PRT,9.1,7.7,20.7,,,,,,
2006,03,SVK,14.3,12.4,29.0,,,,,,
2006,03,ESP,8.7,7.5,18.3,,,,,,
2006,03,GBR,5.316002,3.735617,13.85376,,,,,,
2006,03,USA,4.7,3.677563,10.5,,,,,,
2006,03,EST,6.3,5.4,14.5,,,,,,
